feature,importance
oil_liquid_ratio,8897485.1792202
日产油_t_,1097767.9781455994
ID,907522.7709503174
日产液_t_,774294.9858551025
well_日产液_t__std,607029.7787742615
日产液_t__ema_30,487052.07426071167
生产时间_ema_30,467288.07217788696
日产液_t__rolling_max_30,456194.6355743408
layer_encoded,371288.8137893677
year,354617.0251121521
monthly_日产液_t__mean,348309.49882125854
monthly_日产液_t__std,287377.49125289917
production_efficiency,274744.87617874146
well_日产液_t__mean,218686.38666534424
well_encoded,204699.13816070557
横坐标_m_,187568.99493026733
avg_dist_to_nearest_3_water_wells,171241.32040786743
日产液_t__rolling_max_14,128352.65999221802
well_生产时间_std,125678.42853927612
dayofyear,117575.96733093262
纵坐标_m_,115512.9680480957
min_dist_to_water_well,109784.1254234314
well_日产液_t__max,100786.86345291138
month,90840.2860031128
日产液_t__ema_7,87775.4405670166
well_生产时间_mean,71772.40781784058
日产液_t__rolling_max_3,62878.592140197754
日产液_t__rolling_mean_3,56776.44821548462
生产时间_ema_7,55398.16427230835
日产液_t__rolling_max_7,53591.30537414551
日产液_t__rolling_mean_30,53578.106479644775
nearest_water_well_count_1km,53459.48838806152
日产液_t__lag_30,51352.295026779175
日产液_t__pct_change_7,39655.44079589844
日产液_t__rolling_min_3,34672.47463226318
日产液_t__pct_change_1,29398.762535095215
日产液_t__rolling_min_7,29190.458297729492
日产液_t__rolling_mean_14,25519.98655319214
日产液_t__rolling_mean_7,24614.56427383423
日产液_t__rolling_min_30,19004.047569274902
日产液_t__lag_14,18693.294898986816
日产液_t__rolling_std_30,17703.145595550537
日产液_t__rolling_min_14,16651.29172706604
日产液_t__rolling_std_3,15918.078220367432
生产时间_rolling_mean_30,15493.247100830078
生产时间_pct_change_1,15191.677307128906
日产液_t__rolling_std_7,15043.809677124023
生产时间_lag_30,13470.852214813232
生产时间_rolling_std_30,11003.881652832031
日产液_t__lag_7,10028.442790985107
日产液_t__rolling_std_14,7407.800621032715
日产液_t__lag_1,6387.21382522583
日产液_t__lag_3,5722.378795623779
生产时间_pct_change_7,4608.679515838623
生产时间_lag_3,4259.330078125
quarter,3605.000499725342
日产液_t__diff_7,3529.711681365967
生产时间_rolling_min_30,3409.8625869750977
生产时间_rolling_min_7,2176.01220703125
生产时间_rolling_max_7,2077.4876136779785
生产时间_diff_7,1981.315788269043
生产时间_rolling_max_30,1324.8687019348145
生产时间_rolling_min_14,1159.06449508667
生产时间_rolling_min_3,931.4040985107422
生产时间_diff_1,880.8115196228027
生产时间_lag_7,665.0722007751465
生产时间_rolling_mean_14,576.1284942626953
生产时间_rolling_mean_7,571.5775985717773
生产时间_rolling_std_7,556.952693939209
生产时间_rolling_max_14,487.05788803100586
生产时间_lag_14,274.61670303344727
生产时间_rolling_std_14,267.289005279541
日产液_t__diff_1,267.21630096435547
day,145.53070068359375
生产时间_rolling_mean_3,134.91949844360352
生产时间_rolling_max_3,48.08039855957031
is_month_start,0.0
well_日产液_t__min,0.0
is_weekend,0.0
生产时间_lag_1,0.0
is_month_end,0.0
生产时间_rolling_std_3,0.0
dayofweek,0.0
