feature,importance
oil_liquid_ratio,0.3019029
well_日产液(t)_mean,0.2694333
well_日产液(t)_std,0.17766741
日产液(t)_ema_30,0.038004447
纵坐标(m),0.032581367
layer_encoded,0.026899163
日产液(t)_rolling_max_30,0.022369223
well_生产时间_std,0.019547042
生产时间,0.017533053
日产油(t),0.009741772
well_日产液(t)_max,0.008502821
ID,0.008397671
min_dist_to_water_well,0.007903736
year,0.00641095
日产液(t)_rolling_max_14,0.0063695954
well_encoded,0.0048621567
production_efficiency,0.004562445
生产时间_rolling_min_3,0.004312225
生产时间_ema_30,0.00422155
monthly_日产液(t)_mean,0.0034328992
日产液(t)_rolling_max_3,0.0030600606
nearest_water_well_count_1km,0.002388554
横坐标(m),0.0017868135
日产液(t),0.0012981584
monthly_日产液(t)_std,0.0011201373
生产时间_rolling_max_7,0.0010869473
生产时间_rolling_max_30,0.00094966404
日产液(t)_pct_change_7,0.00092598767
生产时间_pct_change_7,0.0009027697
生产时间_lag_14,0.0008955623
生产时间_rolling_std_30,0.00060932356
month,0.0006093034
日产液(t)_diff_7,0.000534217
生产时间_rolling_mean_7,0.00052599097
日产液(t)_lag_14,0.0004849691
avg_dist_to_nearest_3_water_wells,0.00045028198
日产液(t)_ema_7,0.00043793247
生产时间_lag_1,0.0004237221
生产时间_rolling_mean_14,0.00042195898
生产时间_ema_7,0.00040784673
生产时间_rolling_mean_30,0.0004027191
日产液(t)_rolling_max_7,0.00039418563
生产时间_lag_30,0.00035995073
日产液(t)_rolling_std_3,0.0003215506
日产液(t)_rolling_mean_30,0.00031182083
生产时间_diff_1,0.00029486898
生产时间_rolling_max_3,0.00029151404
日产液(t)_rolling_std_7,0.0002881031
生产时间_diff_7,0.00025131198
dayofyear,0.00024172834
日产液(t)_lag_30,0.0002047435
well_生产时间_mean,0.00019756772
日产液(t)_lag_7,0.00019735479
生产时间_rolling_mean_3,0.00017847445
日产液(t)_diff_1,0.00017028816
日产液(t)_rolling_mean_7,0.00015768522
日产液(t)_lag_1,0.00013484442
日产液(t)_rolling_mean_3,0.00013451074
生产时间_lag_3,0.00013102438
生产时间_rolling_std_7,0.00011453998
quarter,9.877751e-05
生产时间_lag_7,9.5411975e-05
生产时间_rolling_std_3,9.4939074e-05
日产液(t)_rolling_std_30,9.388355e-05
日产液(t)_rolling_mean_14,9.326917e-05
dayofweek,9.3221424e-05
day,7.670731e-05
日产液(t)_rolling_std_14,7.650605e-05
生产时间_pct_change_1,7.5022755e-05
生产时间_rolling_max_14,6.772733e-05
日产液(t)_lag_3,6.437447e-05
生产时间_rolling_std_14,4.2194573e-05
日产液(t)_rolling_min_30,4.2146494e-05
is_month_end,3.9191043e-05
日产液(t)_rolling_min_7,3.8159513e-05
日产液(t)_rolling_min_3,3.6509555e-05
日产液(t)_pct_change_1,2.390804e-05
生产时间_rolling_min_7,2.279105e-05
日产液(t)_rolling_min_14,2.1011463e-05
is_month_start,1.8788543e-05
生产时间_rolling_min_14,1.0971348e-05
生产时间_rolling_min_30,1.0246098e-05
is_weekend,9.577231e-06
well_日产液(t)_min,0.0
