¾®ºÅ,Äê ÔÂ,²ã Î»,É° ºñ,Éú²úÌìÊý,ÈÕ×¢ÄÜÁ¦(m3),¸ÉÑ¹(Mpa),ÓÍÑ¹(Mpa),Ì×Ñ¹(Mpa),ÔÂ×¢Ë®(m3),Äê×¢Ë®(10^4m3),ÀÛ×¢Ë®(10^4m3)
2ºÅ¾®,200207,S2F1S2F-S2F2,32.5,21.13,69,10.9,7.3,7.6,1476,0.1476,0.1476
2ºÅ¾®,200208,S2F1S2F-S2F2,32.5,30.23,34,11,8.2,8.5,1055,0.2531,0.2531
2ºÅ¾®,200209,S2F1S2F-S2F2,32.5,29.15,50,11.7,5.5,6.7,1472,0.4003,0.4003
2ºÅ¾®,200210,S2F1S2F-S2F2,32.5,30.22,51,12,5.7,6.9,1591,0.5594,0.5594
2ºÅ¾®,200211,S2F1S2F-S2F2,32.5,29.21,52,11.4,4.1,5.3,1568,0.7162,0.7162
2ºÅ¾®,200212,S2F1S2F-S2F2,32.5,31,51,12.6,3.8,5,1583,0.8745,0.8745
2ºÅ¾®,200301,S2F1S2F-S2F2,32.5,30.17,48,12.1,3.2,4.4,1475,0.1475,1.022
2ºÅ¾®,200302,S2F1S2F-S2F2,32.5,28,56,12.1,4.5,4.7,1568,0.3043,1.1788
2ºÅ¾®,200303,S2F1S2F-S2F2,32.5,31,55,13.3,5.4,5.6,1720,0.4763,1.3508
2ºÅ¾®,200304,S2F1S2F-S2F2,32.5,29.22,56,11.8,5.8,6,1666,0.6429,1.5174
2ºÅ¾®,200305,S2F1S2F-S2F2,32.5,30.07,79,11.8,6.4,6.6,2380,0.8809,1.7554
2ºÅ¾®,200306,S2F1S2F-S2F2,32.5,27.08,79,12.4,5.8,8.2,2168,1.0977,1.9722
2ºÅ¾®,200307,S2F1S2F-S2F2,32.5,30.12,102,13.4,4.1,6.5,3102,1.4079,2.2824
2ºÅ¾®,200308,S2F1S2F-S2F2,32.5,31,92,12.8,4.5,6.9,2852,1.6931,2.5676
2ºÅ¾®,200309,S2F1S2F-S2F2,32.5,29.16,107,12.8,6,7,3174,2.0105,2.885
2ºÅ¾®,200310,S2F1S2F-S2F2,32.5,30.23,163,12.4,5.6,6.6,5045,2.515,3.3895
2ºÅ¾®,200311,S2F1S2F-S2F2,32.5,29.18,162,12.5,4.8,5,4824,2.9974,3.8719
2ºÅ¾®,200312,S2F1S2F-S2F2,32.5,30.09,159,12.5,3.9,4.1,4831,3.4805,4.355
2ºÅ¾®,200401,S2F1S2F-S2F2,32.5,30.22,167,12.5,3.7,4,5149,0.5149,4.8699
2ºÅ¾®,200402,S2F1S2F-S2F2,32.5,28.22,167,12.5,3.8,4,4824,0.9973,5.3523
2ºÅ¾®,200403,S2F1S2F-S2F2,32.5,30.2,162,13,3.4,3.8,4990,1.4963,5.8513
