井号,年 月,层 位,有效厚度,生产天数,动液面(m),月产液,月产油(t),月产水(m3),累产油(10^4t),累产水(10^4m3)
1号井,200002,S2F1-S2F1,5.5,3,,139,113,26,0.0113,0.0026
1号井,200003,S2F1-S2F1,5.5,29.13,700,1319,1317,2,0.143,0.0028
1号井,200004,S2F1-S2F1,5.5,29.16,114,1229,1229,,0.2659,0.0028
1号井,200005,S2F1-S2F1,5.5,30.12,601,1122,1122,,0.3781,0.0028
1号井,200006,S2F1-S2F1,5.5,29.17,,997,997,,0.4778,0.0028
1号井,200007,S2F1-S2F1,5.5,30.15,,1072,1072,,0.585,0.0028
1号井,200008,S2F1-S2F1,5.5,30.21,,952,952,,0.6802,0.0028
1号井,200009,S2F1-S2F1,5.5,29.09,1033,877,877,,0.7679,0.0028
1号井,200010,S2F1-S2F1,5.5,30.21,,1255,1255,,0.8934,0.0028
1号井,200011,S2F1-S2F1,5.5,29.16,,1350,1350,,1.0284,0.0028
1号井,200012,S2F1-S2F1,5.5,30.21,,1338,1338,,1.1622,0.0028
1号井,200101,S2F1-S2F1,5.5,30.21,,1190,1190,,1.2812,0.0028
1号井,200102,S2F1-S2F1,5.5,27.21,,1096,1096,,1.3908,0.0028
1号井,200103,S2F1-S2F1,5.5,30.12,,1188,1188,,1.5096,0.0028
1号井,200104,S2F1-S2F1,5.5,29.12,,1176,1176,,1.6272,0.0028
1号井,200105,S2F1-S2F1,5.5,29.1,,1203,1203,,1.7475,0.0028
1号井,200106,S2F1-S2F1,5.5,29.1,,1327,1327,,1.8802,0.0028
1号井,200107,S2F1-S2F1,5.5,30.16,,1445,1355,90,2.0157,0.0118
1号井,200108,S2F1-S2F1,5.5,30.21,,1705,1542,163,2.1699,0.0281
1号井,200109,S2F1-S2F1,5.5,29.19,,1788,1641,147,2.334,0.0428
1号井,200110,S2F1-S2F1,5.5,30.21,,1415,1219,196,2.4559,0.0624
1号井,200111,S2F1-S2F1,5.5,29.21,,1299,1104,195,2.5663,0.0819
1号井,200112,S2F1-S2F1,5.5,30.21,,1412,1161,251,2.6824,0.107
1号井,200201,S2F1-S2F1,5.5,31,,1415,1153,262,2.7977,0.1332
1号井,200202,S2F1-S2F1,5.5,27.21,,1233,969,264,2.8946,0.1596
