井  号,横坐标(m),纵坐标(m)
1号井,5157.1,7409.9
2号井,5906.9,8764.8
3号井,5454.6,7961.2
4号井,5935.2,8326.7
5号井,5802.7,8509.9
6号井,5375.8,7269.1
7号井,6149.9,8526
8号井,5905.1,7773
9号井,5647,9704.3
10号井,5152.1,9880
11号井,5627.1,8773.5
12号井,4970.3,10020
13号井,5395.41,10028.34
14号井,5405.09,10035.32
15号井,4510.93,8793.33
16号井,5521.12,7858.58
17号井,4511.64,8788.38
18号井,5688.61,8195.46
19号井,5730.27,8248.21
20号井,5977.54,9252.98
21号井,5973.06,9253.42
22号井,4379.62,8903.73
23号井,5968.08,9253.9
24号井,5963.1,9254.38
25号井,5606.8,8766.45
26号井,5290.3,7756.5
27号井,5999.87,9255.52
28号井,5958.12,9254.86
29号井,5020.18,9514.69
30号井,5766.66,8005.19
31号井,4380.19,8908.9
32号井,4955.5,8476.2
33号井,4776.1,8799.3
34号井,4981.66,9528.2
35号井,5608.1,8307.9
36号井,5812.3,8446.6
37号井,5879.3,8990.4
38号井,5157.1,7404.9
39号井,5925.9,7716.9
40号井,5954.4,7562
41号井,5458.7,6815.7
42号井,5849.8,9333.6
43号井,5162.1,9207.8
44号井,5240.2,9764.2
45号井,4970.3,10020
46号井,4941.2,9443.4
47号井,4904,9213.7
48号井,4815.7,10145.4
49号井,4978.9,8477.7
50号井,5489.8,7845.3
51号井,4313.54,8705.52
52号井,4318.53,8705.16
53号井,4414.96,8842.9
54号井,4359.67,7186.47
