井号,测点深度,井斜角,方位角
12号井,1829.01,0.88,295.28
12号井,1849.31,1.5,225.44
12号井,1856.9,2.99,222.89
12号井,1878.81,7.3,215.54
12号井,1908.31,15.3,197.74
12号井,1937.81,16.6,199.54
12号井,1967.31,17,198.54
12号井,1996.81,19.7,198.24
12号井,2026.31,19.6,197.04
12号井,2055.81,20.3,195.74
12号井,2085.31,19.7,194.84
12号井,2115.11,19.8,192.54
12号井,2144.91,20.6,191.54
12号井,2174.71,21.9,197.54
12号井,2204.51,24.6,207.24
12号井,2234.21,24.5,207.84
12号井,2264.01,24.6,214.54
12号井,2293.61,24.7,214.24
12号井,2323.31,25.1,216.54
12号井,2352.91,25.4,217.54
12号井,2382.41,25.6,219.54
12号井,2411.81,25.6,214.54
12号井,2441.21,28,194.74
12号井,2470.61,28.7,195.94
12号井,2499.71,29,196.54
12号井,2528.91,29.2,197.14
12号井,2540.5,29.32,197.12
12号井,2570.3,28.44,197.44
12号井,2600.2,27.25,197.17
12号井,2630.1,26.37,196.82
12号井,2632.6,26.29,196.86
12号井,2659.9,25.5,197.31
12号井,2689.7,24.52,198.93
12号井,2700,24.11,198.84
13号井,27.16,0.76,148.64
13号井,55.89,0.58,258.99
13号井,84.62,0.62,323.94
13号井,113.35,0.78,64.15
13号井,142.08,0.71,184.05
13号井,170.81,0.57,311.49
13号井,199.54,0.73,295.61
13号井,228.27,0.93,26.33
13号井,257,0.68,74.03
13号井,283.23,0.56,221.52
13号井,308.27,0.75,189.06
13号井,337.11,0.92,91.82
13号井,365.67,0.9,114.16
13号井,394.32,0.85,132.96
13号井,422.88,0.58,155.15
13号井,451.66,0.35,162.57
13号井,480.48,0.27,9.87
13号井,509.24,1.14,49.19
13号井,537.84,0.59,359.36
13号井,566.59,0.81,328.65
13号井,595.45,0.91,357.87
13号井,624.13,0.69,27.58
13号井,653.04,0.71,234.1
13号井,681.9,1.55,287.69
13号井,710.48,1.56,250.71
13号井,739.33,0.72,334.02
13号井,768.3,0.48,305.85
13号井,797.02,0.41,334.62
13号井,825.73,0.31,263.31
13号井,854.41,0.57,355.5
13号井,883.06,0.5,322.1
13号井,911.53,0.39,348.95
13号井,940.05,1.47,22.56
13号井,968.74,1.48,22.25
13号井,997.2,1.46,23.87
13号井,1025.93,0.93,318.55
13号井,1054.65,1.53,357.59
13号井,1083.45,0.84,270.95
13号井,1112.24,1.79,194.22
13号井,1140.76,1.17,84.63
13号井,1169.55,0.92,51.48
13号井,1198.51,0.18,122.14
13号井,1227.31,1.02,22.9
13号井,1255.97,3.07,235.19
13号井,1284.81,2.14,329.1
13号井,1313.88,1.78,146.79
13号井,1342.39,2.38,306.82
13号井,1371.42,2.97,287.66
13号井,1386.6,2.57,255.11
13号井,1399.98,2.23,226.42
13号井,1428.77,0.85,231.18
13号井,1457.54,2.78,144.53
13号井,1485.97,2.83,152.05
13号井,1514.78,2.73,155.8
13号井,1543.5,2.44,153.87
13号井,1572.16,1.8,155.39
13号井,1601.03,1.1,148.87
13号井,1629.86,0.77,143.99
13号井,1658.56,0.61,136.22
13号井,1687.08,1.28,159.84
13号井,1715.78,1.33,159.65
13号井,1744.41,1.13,170.22
13号井,1773.32,0.66,161.54
13号井,1802.09,0.5,129.85
13号井,1830.64,0.86,111.86
13号井,1859.4,1.11,118.34
13号井,1888.32,1.11,123.63
13号井,1917.03,1.23,126.93
13号井,1945.99,1.34,125.85
13号井,1974.84,1.62,135.57
13号井,2003.33,1.9,142.66
13号井,2031.96,1.95,145.5
13号井,2057.47,2.37,142.23
13号井,2066.99,3.87,133.62
13号井,2076.68,5.36,136.43
13号井,2086.4,6.15,135.03
13号井,2096.09,7.47,136.61
13号井,2105.78,9.23,138.89
13号井,2115.3,10.2,141.18
13号井,2124.83,11.6,140.12
13号井,2133.04,13.54,141
13号井,2142.66,14.41,141
13号井,2152.43,15.82,141.71
13号井,2161.96,16.79,142.94
13号井,2171.44,17.14,142.94
13号井,2180.89,17.31,142.58
13号井,2190.63,18.11,142.41
13号井,2200.19,20.13,142.23
13号井,2209.66,21.71,141.88
13号井,2219.15,22.06,141.65
13号井,2228.68,22.32,142.06
13号井,2238.3,23.03,141.18
13号井,2247.8,24.43,141.18
13号井,2257.51,25.05,141.35
13号井,2267.25,25.22,141.18
13号井,2276.8,25.58,141
13号井,2286.44,25.84,140.83
13号井,2296.06,26.63,140.47
13号井,2305.53,26.98,139.6
13号井,2315.01,27.16,140.12
13号井,2324.77,27.69,140.12
13号井,2334.49,29.62,140.3
13号井,2344.25,31.73,141
13号井,2353.94,33.4,141.53
13号井,2363.53,33.93,142.06
13号井,2373.05,35.77,141.18
13号井,2382.61,36.65,141.35
13号井,2392.26,37.62,140.83
13号井,2401.99,38.76,140.12
13号井,2411.52,39.46,139.95
13号井,2421.07,41.22,138.89
13号井,2430.58,42.98,138.37
13号井,2440.25,46.05,137.13
13号井,2449.92,49.22,136.96
13号井,2459.44,49.83,137.13
13号井,2469.17,50.71,137.31
13号井,2478.77,53.09,137.84
13号井,2488.44,55.28,138.01
13号井,2498.9,56.51,138.72
13号井,2508.36,57.04,139.07
13号井,2518,58.36,138.72
13号井,2527.66,59.15,139.24
13号井,2537.24,59.77,139.07
13号井,2546.99,61.52,138.54
13号井,2556.46,63.28,138.54
13号井,2566,64.16,138.54
13号井,2575.53,63.98,137.66
13号井,2585.27,63.98,136.96
13号井,2595,64.6,136.61
13号井,2604.66,65.57,136.61
13号井,2614.2,65.21,136.61
13号井,2623.76,64.51,136.26
13号井,2633.27,64.86,136.78
13号井,2642.75,65.74,136.26
13号井,2652.43,66.18,136.78
13号井,2661.99,66.8,136.61
13号井,2671.52,68.38,136.78
13号井,2681.03,70.14,137.31
13号井,2690.51,71.54,137.84
13号井,2700.15,73.74,138.19
13号井,2709.7,76.9,138.54
13号井,2719.34,79.36,138.72
13号井,2728.9,80.51,138.89
13号井,2738.36,81.39,139.24
13号井,2747.8,80.07,139.07
13号井,2757.32,79.66,138.37
13号井,2766.83,78.84,138.19
13号井,2776.3,79.89,139.24
13号井,2785.67,83.41,139.24
13号井,2795.14,85.43,138.89
13号井,2796.6,85.43,138.89
13号井,2804.72,85.34,139.77
13号井,2814.27,85.17,139.42
13号井,2823.76,84.81,139.6
13号井,2833.35,84.2,139.77
13号井,2843.07,83.41,139.95
13号井,2852.33,83.76,139.6
13号井,2861.69,84.55,139.77
13号井,2871.14,83.94,139.77
13号井,2880.63,84.55,139.77
13号井,2890.4,85.17,139.95
13号井,2900.14,85.78,139.24
13号井,2908.5,85.96,139.77
13号井,2918.49,84.11,139.6
13号井,2928.16,82.44,139.6
13号井,2935,81.74,139.6
13号井,2937.76,81.47,139.6
13号井,2946.67,82,139.6
13号井,2947.2,82.05,139.6
13号井,2956.16,83,139.6
13号井,2957,83,139.6
14号井,418.82,0.28,287.23
14号井,447.64,0.38,189.93
14号井,476.26,0.29,44.99
14号井,505.03,0.33,52.7
14号井,533.53,0.42,56.2
14号井,562.27,0.32,70.23
14号井,590.85,0.29,68.2
14号井,619.25,0.27,71.27
14号井,647.75,0.52,70.71
14号井,676.21,0.47,65.52
14号井,704.85,0.37,46.15
14号井,733.41,0.42,51.66
14号井,761.93,0.58,40.51
14号井,790.33,0.51,28.44
14号井,818.78,0.5,38.98
14号井,847.3,0.72,42.96
14号井,875.69,0.53,59.91
14号井,904.13,0.57,60.24
14号井,932.7,0.41,82.94
14号井,961.18,0.33,91.45
14号井,989.5,0.36,86.08
14号井,1017.94,0.3,81.69
14号井,1046.33,0.31,89.3
14号井,1074.85,0.37,135.75
14号井,1103.16,0.33,158.61
14号井,1117,0.36,192.61
14号井,1131.59,0.4,228.46
14号井,1160.1,0.43,240.38
14号井,1188.48,0.42,265.51
14号井,1217.07,0.39,285.66
14号井,1245.53,0.28,286.1
14号井,1273.9,0.34,291.25
14号井,1302.41,0.45,205.24
14号井,1330.93,0.16,262.53
14号井,1359.28,0.25,1.85
14号井,1387.67,0.26,24.03
14号井,1416.26,0.45,87.85
14号井,1444.78,0.72,105.97
14号井,1473.28,0.42,78.76
14号井,1501.76,0.51,69.16
14号井,1530.21,0.49,71.59
14号井,1558.58,0.61,71.67
14号井,1587.12,0.75,74.49
14号井,1615.49,0.9,70.92
14号井,1644.06,0.59,78.91
14号井,1672.59,0.1,228.75
14号井,1701.1,0.44,347.37
14号井,1729.48,0.54,286.06
14号井,1757.99,0.93,283.09
14号井,1786.52,1.22,267.7
14号井,1814.96,1.5,261.29
14号井,1843.42,1.62,252.19
14号井,1871.9,1.8,248.27
14号井,1900.46,1.72,245.88
14号井,1928.94,1.78,241.84
14号井,1957.49,1.69,246.48
14号井,1985.86,1.66,256.84
14号井,2014.41,1.75,257.85
14号井,2042.94,1.71,260.51
14号井,2071.56,1.53,262.67
14号井,2100,1.56,259.35
14号井,2128.67,1.64,257.45
14号井,2140.45,1.7,81.67
14号井,2169.06,2,255.67
14号井,2178.54,2.11,266.97
14号井,2187.95,1.32,240.27
14号井,2197.42,1.1,216.47
14号井,2206.93,1.36,159.47
14号井,2216.42,2.81,141.17
14号井,2225.9,3.47,145.17
14号井,2235.42,4.7,142.17
14号井,2244.91,6.46,143.17
14号井,2254.41,8,137.17
14号井,2263.97,9.14,143.07
14号井,2273.5,11.16,143.87
14号井,2282.99,12.44,144
14号井,2292.42,13.32,145.37
14号井,2301.86,14.19,152.57
14号井,2311.38,15.96,155.87
14号井,2320.92,18.26,158.17
14号井,2330.46,20.35,158.87
14号井,2339.88,22.54,160.37
14号井,2349.36,24.4,161.07
14号井,2358.91,25.66,161.27
14号井,2368.35,27.55,160.47
14号井,2377.79,29.44,160.57
14号井,2387.35,31.46,160.17
14号井,2396.81,34.15,160.17
14号井,2406.2,35.86,160.47
14号井,2415.75,36.69,161.17
14号井,2425.26,39.02,161.17
14号井,2434.78,40.21,162.17
14号井,2444.22,40.17,160.17
14号井,2453.85,42.36,160.67
14号井,2463.33,43.21,160.27
14号井,2472.88,45.18,158.67
14号井,2482.41,47.3,158.67
14号井,2491.91,49.35,158.67
14号井,2501.44,50.63,158.27
14号井,2511,52.08,157.87
14号井,2520.4,53.44,156.87
14号井,2529.93,54.98,156.07
14号井,2539.44,56.91,155.57
14号井,2548.92,58.93,154.87
14号井,2554.56,60.73,155.94
14号井,2563.96,61.52,155.77
14号井,2573.37,61.87,156.12
14号井,2582.94,62.67,155.06
14号井,2592.44,63.9,154.54
14号井,2601.95,65.3,153.66
14号井,2611.47,66.27,153.83
14号井,2620.94,67.68,153.83
14号井,2630.41,68.82,154.01
14号井,2639.83,70.05,154.36
14号井,2649.35,70.58,154.19
14号井,2658.93,71.54,153.48
14号井,2668.37,73.83,153.31
14号井,2677.82,76.11,152.25
14号井,2687.31,76.46,150.14
14号井,2696.79,76.82,149.26
14号井,2706.36,79.01,149.09
14号井,2715.8,80.6,148.38
14号井,2725.37,81.21,148.74
14号井,2726.18,81.21,148.74
14号井,2734.87,83.32,147.68
14号井,2744.31,86.04,147.68
14号井,2753.76,87.4,148.03
14号井,2763.28,86.66,147.15
14号井,2772.87,84.9,147.33
14号井,2782.3,84.37,147.15
14号井,2791.72,84.55,147.33
14号井,2801.28,82.62,147.86
14号井,2810.71,81.53,149.26
14号井,2820.12,81.98,149.32
14号井,2829.58,81.3,148.21
14号井,2838.99,80.68,148.56
14号井,2848.47,80.33,148.56
14号井,2857.88,80.42,148.21
14号井,2867.36,81.03,148.03
14号井,2876.77,82.09,147.68
14号井,2886.17,82.52,147.33
14号井,2895.68,82.68,147.51
14号井,2902,82.22,147.31
14号井,2905.06,82.01,147.22
14号井,2912.26,81.5,147
15号井,397.15,0.24,76.1
15号井,425.66,0.16,120.7
15号井,454.14,0.5,169.1
15号井,483.1,0.71,93.13
15号井,511.11,0.8,96.74
15号井,539.57,0.7,96.96
15号井,568.12,0.5,103.68
15号井,596.47,0.47,90.73
15号井,624.89,0.32,96.74
15号井,653.33,0.26,100.77
15号井,681.85,0.24,97.1
15号井,710.45,0.12,147.2
15号井,738.89,0.14,148.31
15号井,767.24,0.19,122.57
15号井,795.81,0.18,127.5
15号井,824.81,0.25,151.8
15号井,852.63,0.27,143.55
15号井,880.99,0.28,141.9
15号井,909.43,0.28,130.32
15号井,937.82,0.32,104.08
15号井,965.67,0.44,107.6
15号井,993.77,0.33,125.4
15号井,1022.49,0.25,246.7
15号井,1050.89,0.14,332.48
15号井,1079.43,0.37,98
15号井,1107.93,0.44,110.3
15号井,1136.4,0.33,179.48
15号井,1164.39,0.46,175.47
15号井,1192.81,0.4,207.88
15号井,1221.07,0.34,250.34
15号井,1249.54,0.2,302.11
15号井,1278.1,0.31,304.04
15号井,1306.72,0.39,20.33
15号井,1335.12,0.57,30.41
15号井,1363.61,0.74,20.06
15号井,1391.73,0.79,11.68
15号井,1420.24,0.86,9.8
15号井,1448.7,0.92,14.9
15号井,1477.2,0.85,19
15号井,1506.67,0.7,34.5
15号井,1516.69,0.8,44.7
15号井,1526.07,2,87.9
15号井,1535.51,3.3,91.6
15号井,1544.98,4.7,99.8
15号井,1553.47,5.1,100.8
15号井,1563.93,6.2,104.3
15号井,1573.4,6.4,102.7
15号井,1582.92,6.8,103.9
15号井,1592.1,6.9,99.7
15号井,1602,7.4,99.8
15号井,1611.45,7.9,98.8
15号井,1621.89,8.8,96.2
15号井,1640.5,10.5,101.3
15号井,1658.41,11.4,99
15号井,1687.98,13.2,98.9
15号井,1716.59,13.5,101.4
15号井,1745.06,14.6,99
15号井,1773.61,15.1,100.8
15号井,1792.67,16.6,100.4
15号井,1821.11,16.9,102.6
15号井,1849.57,16.9,104.7
15号井,1878.19,18.7,103.5
15号井,1906.84,18.9,103.1
