井号,起始日期,层位,砂层组,层号,细分小层号,生产井段（m）,射孔厚度(m),终止日期（生产这个层段的末期时间）
1号井,2023-05-14,Es2x,F,1,1,2606.00 - 2607.50,1.5,
1号井,2023-05-14,Es2x,F,2,1,2673.60 - 2677.00,3.4,
1号井,2023-05-14,Es2x,F,2,1,2679.60 - 2682.60,3,
1号井,2022-11-16,Es2x,F,2,1,2673.60 - 2677.00,3.4,2023-05-13
1号井,2021-01-10,Es2x,F,3,1,2704.10 - 2709.00,4.9,2022-11-15
1号井,2021-01-10,Es2x,F,3,2,2715.10 - 2717.00,1.9,2022-11-15
1号井,2021-01-10,Es2x,F,3,2,2721.60 - 2723.00,1.4,2022-11-15
1号井,2021-01-10,Es2x,F,4,1,2732.00 - 2733.40,1.4,2022-11-15
1号井,2021-01-10,Es2x,F,5,1,2746.40 - 2751.00,4.6,2022-11-15
1号井,2016-08-17,Es2x,F,5,,2746.40 - 2751.00,4.6,2021-01-09
1号井,2000-02-27,Es2x,F,1,,2606.00 - 2607.50,1.5,2016-08-16
1号井,2000-02-27,Es2x,F,1,,2609.40 - 2613.40,4,2016-08-16
2号井,2022-01-28,Es2x,F,1,1,2616.40 - 2624.50,8.1,
2号井,2022-01-28,Es2x,F,1,3,2631.60 - 2637.00,5.4,
2号井,2022-01-28,Es2x,F,2,1+2,2663.00 - 2682.40,19.4,
2号井,2022-01-28,Es2x,F,2,3,2687.20 - 2694.90,7.7,
2号井,2009-05-28,Es2x,F,1,,2616.70 - 2624.40,7.7,2022-01-27
2号井,2009-05-28,Es2x,F,1,,2631.60 - 2637.00,5.4,2022-01-27
2号井,2009-05-28,Es2x,F,2,,2663.00 - 2682.40,19.4,2022-01-27
2号井,2002-07-09,Es2x,F,1,,2616.70 - 2624.40,7.7,2009-05-19
2号井,2002-07-09,Es2x,F,1,,2631.60 - 2637.00,5.4,2009-05-19
2号井,2002-07-09,Es2x,F,2,,2663.00 - 2682.40,19.4,2009-05-19
2号井,2002-07-09,Es2x,F,2,,2687.20 - 2694.90,7.7,2009-05-19
2号井,2000-09-09,Es2x,F,2,,2663.00 - 2682.40,19.4,2002-07-03
2号井,2000-09-09,Es2x,F,2,,2687.20 - 2694.90,7.7,2002-07-03
3号井,2006-05-29,Es2x,F,2,,2686.00 - 2694.50,8.5,
3号井,2006-05-29,Es2x,F,2,,2695.00 - 2698.00,3,
3号井,2000-01-08,Es2x,F,2,,2686.00 - 2694.50,8.5,2006-05-28
4号井,2002-02-11,Es2x,F,2,,2723.60 - 2738.00,14.4,
4号井,2001-09-22,Es2x,F,2,,2723.60 - 2738.00,14.4,2002-02-10
4号井,2001-05-30,Es2x,F,3,,2765.00 - 2774.00,9,2001-09-21
4号井,2001-05-30,Es2x,F,4,,2778.00 - 2780.00,2,2001-09-21
4号井,2001-04-19,Es2x,F,3,,2765.00 - 2774.00,9,2001-05-29
5号井,2001-09-11,Es2x,F,2,,2679.00 - 2689.00,10,
